"positive"," Images and Videos look great from any angle."
"positive","gets you good performance and Efficiency"
"positive","Good wide angle front camera with HD resolution"
"positive","The music quality is really good(through Earphones) & FHD videos play flawlessly."
"positive","Charger - Comes with a 1.35A charger and gets you a quick charging for such a huge battery."
"positive","My Xperia S locks on with 3M accuracy even inside my office"
"positive","its a gret value for money Tab and good enough for designer like me"
"positive","This is a very great"
"positive","1.6GHZ intel dual core processor is very powerful"
"positive","We can expand upto 64 gb microsd card"
"positive","Beautiful IPS screen"
"positive","viewing angle is good."
"positive","Powerful processor."
"positive","Expandable storage."
"positive","in headset its wonderful."
"positive","Sharp and crisp text good for e-reading and has an optimized reading mode with instant dictionary"
"positive","Watched movies and it was soothing wit ambient light "
"positive"," The screen is not very bright like samsung."
"positive","Very fast , with adequate ram, played dead trigger 2 and Asphalt 8 with no lang in multi app conditions."
"positive","Browsing is fast in even edge network"
"positive","3g is good but i rate samsung higher in speed. Wifi is superfast."
"positive","Awesome tablet and really worth for the money. "
"positive"," Guys none can beat it in this price range"
"positive","Best video output, sound is superb, no lags"
"positive","Best Tablet ever had in this price range"
"positive","not used such a excellent product in its range"
"positive","It is great challenge for Apple, Sony, Samsung etc"
"positive","Great knock"
"positive","They will definitely appreciate. "
"positive","this is good time to buy."
"positive","for 15000 its fantastic"
"positive","overall specification is good."
"positive"," front camera is also good"
"positive","has a great look"
"positive","processor is good"
"positive","sound is good.. Overall it's a good tab."
"positive","To fix it i took it to service Center and got it fixed in one day"
"positive","its classy, using in without cover and screen guard from a month. Excellent phone response, camera is awesome"
"positive","Good Phone for 10K, no heat problem so far"
"positive"," HD display good camera"
"positive","Good Value for Money"
"positive","Excellent Build Quality and Design"
"positive","Good Battery Life and Excellent pair of cameras."
"positive","Touch Response Is excellent and no network problem."
"positive","having a nice time."
"positive","Gaming is good. nice battery backup."
"positive","Great buy and bargain"
"positive","It is a very good mobile"
"positive","Any other brandef mobile may cost at least 12000+."
"positive","Very good battery. No heating at all. "
"positive","Easy to handle. Very thin and elegant."
"positive","Most importantly it's display with tough gorilla glass! So no need for protective cover or plastic sticker."
"positive","excellent camera"
"positive","Look, battery...every thing is much more as compared to.price.....loved the fone a lot"
"positive","This phone is amazing"
"positive","Super cool display."
"positive","Touch is amazing."
"positive","Both the cameras are too good even in dark"
"positive","4 GB RAM is an asset. I have loaded 64 GB microSD with almost full photographs and songs"
"positive","No loading time at all"
"positive","It is still amazingly fast."
"positive","So 4 GB RAM is a big asset which you cannot get in other mobiles."
"positive","It recharges very quick"
"positive","Even though the internet and Wifi are on, to deplete it takes almost 3 hours"
"positive","Volume button at the back is so handy to take selfies and to control volume too. This you need for larger displays like this of 5.5 inches."
"positive","Design is ultimate."
"positive","Even though the phone is big, the edges are too thing and close to only 3 mm. So very easy to hold."
"positive","Excellent gaming perfomance."
"positive","Lots of customization in asus ZenUI. This UI is very smooth lag free and good looking."
"positive","There is lot of customization and many features in camera depatment."
"positive"," There is fast charging supported charger which comes with this mobile, charges in 1 to 1 1/2 hours."
"positive","There are instant ZenUI updates available for all the apps on playstore even the asus apps also"
"positive","Call quality is also very nice on this device and there is fortunatetly no call drop issue on this mobile."
"positive","The mobile looks very premium and unique in its class though it has plastic back cover with a metallic finishing."
"positive","It has 4gb ram which is very rare in mobiles, very good for multitasking"
"positive","The battery is good when You are ofline and not using any mobile data. This can be solved, thankks to its fast charging support."
"positive","its amazing of screen and battery backup is good. downloading speed is very good."
"positive","performance is very fast,good camera and sound quality as well,many customized app is avilable whcih are very useful"
"positive","Best phone I have EVER used"
"positive","For this price range, this phone is an absolute beast"
"positive","The 4G speeds on this device work flawlessly, got 30 MBPS 4G speed by airtel. "
"positive","MASSIVE 4gb RAM, which makes multi-tasking extremely snappy and I have yet to discover any amount of lag in this beast of a phone."
"positive","The sound in this beast is amazing, its way better than most phones I have used"
"positive"," I think there is a built in equalizer and a good sound card on this device, because my music really sounds way better on this phone than any other device I have used in a long time."
"positive","The camera is amazing, selfies on the front camera are extremely crisp and clear"
"positive","Overall, I love this device, it charges really fast, and the battery is pretty decent and lasts through almost the full day on HEAVY usage"
"positive","if you are just a normal user then the battery is sure to last you way longer."
"positive","ASUS is amazing as always, it has always been my most trusted brand for electronic goods, and they didn't disappoint me this time either."
"positive","Good phone to buy"
"positive","As far looks and screen, it is 9/10"
"positive","Operating system is v. good, some of the features and ASUS apps are very helpful, I would rate it 9/10."
"positive","feature is very useful"
"positive","Themes are good. Back side vol. rocker switches will take some time to get used to but once done it is nice to operate."
"positive","The configuration of 4gb + 16gb is sufficient"
"positive","But the best part that it comes with fast charging technology though as per company details fast charging comes only in higher versions."
"positive","It is really a pleasant surprise. "
"positive","excellent phone good performance but heats up readily and very low battery backup"
"positive","What a performance......."
"positive","sound: sufficently loud, contrary to what i read before buying."
"positive","fotos are clear and detailed."
"positive","display: beats all displays in same resolution... crisp clear"
"positive","Zenfone has boost function in the dropdown menu that does the job of killing all apps."
"positive","BETTER HERE CZ OF CYANOGEN MOD AND MORE CORES"
"positive"," If you are a camera lover, (especially low light photography)please buy this phone."
"positive","This is by far the best camera(both in low light and day light) experience i have. It is better than OP2 and Moto xPlay's 21MP camera."
"positive"," The best/perfect FS out in the market right now."
"positive","Its been 15 days I've been using this device and mark my words this is of the best devices I have used."
"positive","One of the best Camera Sensor both front and back. with super low light image capture."
"positive","The device is Elegant in its looks."
"positive","The touch is so swift."
"positive","Camera's quality is more than awesome."
"positive","I've read few bad reviews regarding camera's quality, those can be completely ignored."
"positive","Battery backup is efficient."
"positive","Sound quality is also good. Sound quality is also good."
"positive","As of now I've not encountered a problem with my device."
"positive","You can opt for this phone without a second thought."
"positive","you can get hassle free replacement."
"positive","Great design, Good color combo."
"positive","Top of the line specifications (Octa-core 1.7Ghz processor, 13MP rear shooter etc.)."
"positive","The camera is EPIC."
"positive","HD video recording is just outstanding."
"positive","So far the performance is good."
"positive","The main camera gives brilliant pictures."
"positive","Over all it is a decent phone in this range."
"positive","I am enjoying."
"positive","Overall a good phone..."
"positive","The overall look of this phone is awesome."
"positive","This phone do not hangs at all."
"positive","A nice user interface."
"positive","Brand HTC has never let its image down.A great phone with awesome looks..Keep it Up!! Its very slim and handy..."
"positive","GREAT PHONE inspite of low memory."
"positive","Great performance."
"positive","All in all, more than satisfied till date."
"positive","Looks, build, display & touch as expected from HTC ... extremely good."
"positive","Does not heat up much even after long usage (gaming, video, net etc.) 1hr or more at a stretch."
"positive","Overall a very good buy.... !!"
"positive","soooo good"
"positive","Finally i chose 728, and m so happy with it."
"positive","Smooth touch, nice sound quality, display is nice and most important looks and camera, both are amazing."
"positive","Using this phone since 1 day and still have 50% battery left. its cool. It has nice features. Its a great phone within 15K."
"positive","amazing phone amazing battery back up and also amazing camera quality"
"positive",".front camera is awesome back is also good..all features is best...i m using from last 5 days..and no negative point untill...."
"positive","But like Samsung it does not hang"
"positive","Build quality is good.sound quality average.no lag.good battery quality."
"positive","Good budget phone"
"positive","This is a very good budget phone with very good specifications."
"positive","Battery is good. For an average user like me who just receive/make calls, use whatsapp and play some light games battery may last two days."
"positive","No heating problem."
"positive","Good compact phone"
"positive","Been using it now for more than 8 months and i have nothing to complain."
"positive","Faced some microphone issues during the second month; but was quickly rectified by Apple Service centre."
"positive","Battery life on ios8 is pathetic!"
"positive","Excellent product & value for money combined together."
"positive","Excellent retina display."
"positive","Good sound quality an alternate for an ipod."
"positive","Best touch interface I have ever used."
"positive","Better build quality ( no plastic feel )"
"positive","Superb camera."
"positive","It has attractive looks and perfect design. "
"positive","Awesome feel while handling this phone."
"positive","Phone is more stable, processing is fast, no lags observed."
"positive","4 inch screen is perfect. Good for those who hates large screen mobiles."
"positive","8GB memory is more than sufficient. "
"positive","The Screen is great.I Feel proud to have a Iphone."
"negative","Pathetic after sales service"
"negative","it's a good purchase but if it fails, you'll be tortured by ASUS service centre in getting it back to normal state"
"negative","The basic problem was that the motherboard had going bad completely within two months of purchase"
"negative","When asked for repairing at service centre, they quoted the price much higher than the cost of the product"
"negative","It was surprising to understand how a motherboard can cost higher than the product."
"negative","I would recommend you to not buy this product"
"negative","Never expected this"
"negative","Glossy Screen - The screen is very glossy and feels uncomfortable for eyes in bright outdoors. "
"negative","The screen also suffers from lack of optimum brightness."
"negative","The touch sensitivity is also not upto the mark."
"negative"," The User Interface for calling is a bit buggy"
"negative","Attending calls is troublesome most of the times"
"negative","Bluetooth call connectivity is poor"
"negative","Compass is not so acurate either."
"negative","Very badly disappointed."
"negative"," Not great at all. Doesn't feel sturdy."
"negative","Accessory - No Earphones."
"negative","I purchased 8 Gb version and only 4 Gb is user accessible"
"negative","Glossy back feel slippery"
"negative","tablet is heating abruptly"
"negative","movies to stutter"
"negative","freezing of touch screen"
"negative","restart disappointed as no service centres"
"negative","WIth background light the screen becomes reflective"
"negative","Glossy screen not good for viewing under direct sunlight."
"negative","Colours are a bit washed up"
"negative","i dont really need it"
"negative","Weight:-At the heavier side "
"negative","I reduced one star because of poor service backup of Asus "
"negative","I regret buying this product"
"negative","even though it has a good screen and interface to be used as tab, it is worst phone i have used till date"
"negative","some times you just want to throw this phone."
"negative"," frequent call drops, every 10 to 15 minutes call gets disconnected. no mater how many times you reset the device or which ever network sim you use, this problem never gets solved."
"negative","not available here "
"negative","Bluetooth is not working properly for all other devices"
"negative","only some devices can connect for it.. so it's the major disadvantages of this tab"
"negative","Reliance external dongle will not support.. for this tab box accessory is not sufficient."
"negative","it didn't include ear phone or head phone, OTG cable, pouch or case cover & screen guard"
"negative","Worst Android tablet"
"negative","After only 5 months it started having battery problems"
"negative","The tablet will not charge when connected to the adapter"
"negative","The issue started again after one week"
"negative","The appearance of the product is good but after using it for some days you will face the heat."
"negative"," from the beginning I had issue with this phone."
"negative","I argued to show the water in other parts or other parts have to be damaged. they failed to show it"
"negative","I took the issue to ASUS support center via email but no response from them"
"negative"," NOT happy with this product or its after sales service"
"negative","they would just leave you hanging after selling their product"
"negative","no headphone"
"negative","battery only 2070mAH 2500mah could be better"
"negative","Bad quality of Image in Low light and Flash is too bright."
"negative","Processor is lagging behind in performance and got the Antutu Score of - 22000+"
"negative","Sound is too low and awkward placement of Power and Volume button"
"negative","Inspite of the corning gorilla glass 3 protection, there are 2 or 3 small scratches on my display which is very annoying and dissapointing, not expected."
"negative","The battery life is kind of a bit dissapointment. The battery drains faster when you are on wifi and gaming."
"negative","While charging your phone, the phone tends to heat very high because of fast charging. This is its disadvantage."
"negative","The shake to take screenshot feature in zenmotion is not working at all."
"negative","I have confirmed email from Flipkart representative stating that 48Degree is expected with normal calling and no application running for ASUS Zenphone-2. I will take them to health department so they can have ban on such phone."
"negative","I am using this phone from last 3 days, from day 1 it's heating like iron."
"negative","Even Battery backup is very bad even without use for 6-7 hours (no internet, no application access, no calls) it got to 0 and switched off.. "
"negative"," was very much excited but have not met the expectation."
"negative","Battery draining issue"
"negative","BIG TIME - Battery Issue with this phone"
"negative","I hardly use this phone 40mins of voice calls per day and 20mins of WhatsApp per day - and the battery drains too fast"
"negative"," I am required to charge twice again on the same day even though it has a big battery."
"negative","Most of the days the phone turns of in the night. I had "force stopped" all the apps which run in the background to save battery - even this didnt help"
"negative","Strange thing is I use only a single SIM, I fully charged the phone 100s, locked it and unlocked it after 4mins and the battery drops to less than early 90's with no calls spoke nor activity done."
"negative","I didn't particularly like the keyboard Asus provided"
"negative","it is very difficult to find the correct screen guard and the correct back cover for this phone"
